position,company,salary range,brutto
Site Reliability Engineer (Cloud Operations Team),Revel Systems,3800-5500,True
Golang Back-End Developer (Mid/Senior),Bankera,3000-10000,True
Golang Back-End Developer (Mid/Senior),Bankera,3000-10000,True
IT administratorius - koordinatorius (-ė),Amber Food grupė,Nuo 1000,False
Junior - Mid PHP developer,UAB „Baldai1“,1300-2000,False
Data integrity + technical support specialist,3manager A/S,Nuo 1600,True
BACKEND PROGRAMUOTOJAS / BACKEND DEVELOPER (ORACLE PL/SQL),UAB GENERAL FINANCING BANKAS,2400-3400,True
C# programuotojas (-a),UAB „Terra IT“,900-3500,True
DATA ANALYST,HR factory,3000-4000,True
Mid/Senior Frontend Developer (Remote),UAB TEKSASAS,Nuo 2500,True
PHP / Wordpress programuotojas(-a),UAB „Evitus“,2000-3000,True
IT inžinierius Šiauliuose,UAB „Universalios valdymo sistemos“,1000-1800,True
WordPress developer,UAB „Scoding“,1000-2500,False
Programuotojas,UAB „Baltic Clipper“,1500-2000,False
Business analyst,UAB „Scoding“,1000-2500,False
QA Specialist,UAB „Dokobit“,1400-3000,True
Vyresnioji (-ysis) IT analitikė (-as) (Verslo sistemų),UAB „Bitė Lietuva“,2800-3400,True
Procurement manager,Surfshark,1650-2650,True
IT sistemų analitikas (-ė),ACME įmonių grupė,1800-2100,False
Sr. .NET Developer,UAB „Indigroup“,5000-6800,True
PHP Developer,UAB „Indigroup“,3500-5500,True
Fullstack Engineer (PHP/JS),UAB „Kilo grupė“,4100-5800,True
Front-end Developer (rnd),Surfshark,2975-4960,True
QA Engineer,UAB „Indigroup“,4166-6250,True
Big Data Developer,UAB „Bitė Lietuva“,3500-4500,True
Scrum Master in Financial Steering Solutions,SEB,1900-3600,True
MS SQL Solution Developer in Financial Steering,SEB,2000-3600,True
DUOMENŲ ANALITIKOS SPECIALISTAS (-Ė),UAB Emplonet,1586-2975,True
IT Sprendimų architektas (-ė),UAB „ALLIANCE RECRUITMENT“,2600-4000,True
Java Software Engineer,UAB „ALLIANCE RECRUITMENT“,Nuo 2975,True
IT AUDIT SENIOR ASSOCIATE / ASSISTANT MANAGER,UAB „KPMG Baltics“,1500-2400,True
JUNIOR IT AUDITOR,UAB „KPMG Baltics“,1000-1300,True
Business Intelligence Developer,Girteka įmonių grupė,2800-3600,True
Full stack programuotojas fintech projekte,UAB „Trečia diena“,1500-2500,False
Python developer (mid-senior),UAB „Biomatter Designs“,2400-4400,True
Client Integration Manager,Citco Group of Companies,3000-4000,True
Duomenų tinklų administratorius (-ė),„Blue Bridge“ grupė,2000-3500,True
Microsoft sistemų administratorius (-ė),„Blue Bridge“ grupė,2000-2500,True
Back-end Software Engineer (PHP),UAB „Estina LT“,3300-5000,True
IT inžinierius (-ė),„Blue Bridge“ grupė,1400-2200,True
Salesforce Administrator,Nord Security,1650-2800,True
Palaikymo specialistas (-ė) IT departamente,ADB „Gjensidige“,967-1451,True
Data Analyst (HR Area),Girteka įmonių grupė,1700-2095,True
JAVA PROGRAMUOTOJAS (-A),ATEA grupė,1000-2000,False
IT priežiūros inžinierius (-ė),ATEA grupė,1300-1600,True
Programinės įrangos produkto vadovas (-ė) (Product Owner),UAB „Grand ERP“,1500-2200,False
Senior Game Designer,UAB „ALLIANCE RECRUITMENT“,Nuo 3500,True
Business Intelligence Analyst,UAB „ALLIANCE RECRUITMENT“,Nuo 2450,True
Senior developer/Tech Lead,UAB „ALLIANCE RECRUITMENT“,Nuo 5785,True
Data Analyst,UAB „ALLIANCE RECRUITMENT“,1600-2500,True
Quality Manager,LTH-Baas AS,Nuo 1800,False
Verslo įžvalgų analitikas (-ė),UAB „Simplika“,2400-3300,True
DUOMENŲ BAZIŲ PROGRAMUOTOJAS (-A) (MID-SENIOR),UAB Emplonet,1500-3000,False
Expert in Daily Banking Processing Unit,Luminor Bank AB Lietuvos skyrius,1290-1600,True
Office 365 Administratorius (-ė),ACME įmonių grupė,1500-1700,False
PRAMONINIŲ ROBOTŲ PROGRAMUOTOJAS (-A),UAB „Emploera“,1800-2500,False
.NET PROGRAMUOTOJAS (-A),ATEA grupė,1000-2000,False
IT inžinierius - technikas,MB „Asuntos“,1200-1400,False
Junior Network Center Analyst,CUJO Baltic UAB,Nuo 1700,True
IT administratorius Babtuose,UAB „Agrokoncernas“,1400-2300,False
IT Asset Analyst,UAB „World Courier (Lithuania)“,1800-2600,True
Backend Java Developer in Accounts & Payments Channels Team,SEB,2400-4450,True
Programuotojas (-a) Telšiuose,UAB „Čia Market“,2000-3000,True
IT SPECIALISTAS (-Ė) VILNIUJE,UAB „GINESTRA“,Nuo 2220,True
PROGRAMUOTOJAS (-A),UAB „GINESTRA“,Nuo 2160,True
QA ENGINEER,HR factory,1600-3150,True
IT ANALITIKAS,UAB „SME Finance“,Nuo 3000,True
Head of Products,Paysera,1500-4000,True
Duomenų analitikas (-ė) (darbas iš namų),UAB „Transcom Worldwide Vilnius“,1096-1225,True
Duomenų analitikas (-ė) (darbas iš namų),UAB „Transcom Worldwide Vilnius“,1096-1225,True
Quality Assurance Analyst in SAP Transportation Management,Girteka įmonių grupė,1900-2700,True
ANDROID DEVELOPER,UAB Emplonet,2200-3500,False
"Product Owner, Acquiring",UAB „GlobalNetint“,2500-3500,True
Influencer Marketing Specialist (Instagram),Surfshark,1320-2200,True
IT / WEB ADMINISTRAVIMO SPECIALISTAS,UAB „Coral Travel Lithuania“,Nuo 1000,False
PHP PROGRAMUOTOJAS (-A),UAB „BnP Finance“,1500-2500,False
Frontend Developer,Oxylabs,1650-4450,True
IT sistemų analitikas (-ė),Girteka įmonių grupė,2540,True
QA Engineer,Girteka įmonių grupė,1900-2700,True
SAP ABAP Developer,Girteka įmonių grupė,3000-3600,True
Windows Server Engineer (Infrastructure layer) at SEB in Vilnius,SEB,Nuo 1900,True
Windows Server Engineer (Application layer) at SEB in Vilnius,SEB,Nuo 1900,True
JUNIOR–MID FRONT-END DEVELOPER (ANGULAR),UAB Emplonet,1500-2500,False
PHP PROGRAMUOTOJAS (-A) (MAGENTO),UAB „Topo grupė“,Nuo 1500,False
IT ANALITIKAS (-Ė),UAB „Topo grupė“,Nuo 1500,False
OpenShift (CAAS) Specialist,UAB „HCL Technologies Lithuania“,4580,False
Linux Server Engineer at SEB in Vilnius,SEB,1900-3600,True
Senior Software Engineer (.NET),UAB „NFQ Technologies“,3720-5950,True
.NET PROGRAMUOTOJAS (-A),ATEA grupė,1000-2000,False
Testuotojas (kokybės inžinierius),UAB „Universalios valdymo sistemos“,1500-2200,True
Automatinio testavimo inžinierius (-ė),UAB „Adeo Web“,1500-3000,False
Lead PHP developer,UAB „Ovoko“,4000-6000,True
Data Analyst,UAB „Ovoko“,3000-4000,True
Data Engineer,UAB „Ovoko“,3000-4000,True
Data Scientist,UAB „Ovoko“,4000-5000,True
CRO Marketing Manager (Zyro.com),UAB „HOSTINGER“,Nuo 2800,False
IT SUPPORT INTERN,UAB „Littelfuse LT“,Nuo 675,True
TV inžinierius (-ė),VšĮ Lietuvos nacionalinis radijas ir televizija,Nuo 1585,True
JAVA Programuotojas,UAB „Leksinova“,Nuo 2500,True
Informacinių sistemų analitikas (-ė),UAB „Leksinova“,Nuo 1900,True
.NET Programuotojas,UAB „Leksinova“,Nuo 3000,True
Experienced Product Designer (UX & UI) (Zyro.com),UAB „HOSTINGER“,1500-2500,False
Retention Specialist (Zyro.com),UAB „HOSTINGER“,1200-2500,False
Full-Stack Developer (Zyro.com),UAB „HOSTINGER“,Nuo 1500,False
PPC Marketing Specialist (Zyro.com),UAB „HOSTINGER“,Nuo 1500,False
Backend developer (Zyro.com),UAB „HOSTINGER“,Nuo 1400,False
Progress 4GL/ OpenEdge developer in Baltic internet bank,SEB,1900-2800,True
Programinės įrangos inžinierius (-ė) (support engineer),UAB „Personalo valdymo inovacijos“,2455-3306,True
